> 6688    1 MEDITERRANEAN RIDGE, TRENCH SW OF GREECE  
> 6688    2 TRANSFORM FAULT SE OF GREECE                                          
> 92 1    1  NCATL RIDGE AXIS                                                     
  1046883.36  -7259000.24
  1119793.81  -7294574.77
  1244811.48  -7339877.43
  1339521.97  -7368063.30
  1406268.83  -7391208.69
  1499823.13  -7414674.86
  1560769.60  -7429303.72
  1632418.10  -7449529.88
  1724157.87  -7471431.76
  1835272.39  -7492980.25
  1943251.97  -7520600.00
  2036860.87  -7536950.44
  2119333.60  -7560104.83
  2220434.48  -7584904.14
  2290851.47  -7607099.11
  2364452.16  -7634788.01
  2430277.65  -7670477.64
  2496602.72  -7707530.57
  2555190.72  -7749364.68
  2635230.84  -7815764.88
  2705223.32  -7869128.44
  2764385.55  -7925944.01
  2820404.80  -7975275.46
  2886488.22  -8041902.20
  2947180.08  -8112630.78
  2987166.94  -8171778.00
  3012158.90  -8237890.69
  3015345.03  -8287346.30
  3014890.72  -8354388.77
  3011497.53  -8422002.39
  3024013.92  -8484420.70
  3064725.79  -8570357.97
  3108678.70  -8650516.70
  3171327.00  -8742595.36
  3210001.09  -8807869.26
  3248114.41  -8869859.29
  3284897.93  -8938778.07
  3306014.21  -8999321.70
  3311179.84  -9049205.45
> 9388    6 S TRANSFORM FAULT, SCOTIA SEA                                         
  1504552.99  -8307325.10
  1556616.79  -8334987.78
  1624210.61  -8373664.95
  1698974.93  -8322633.10
  1758408.47  -8357369.36
  1836915.85  -8402733.36
  1914312.36  -8453074.68
  1978018.03  -8500447.09
  2049175.24  -8562104.17
  2114447.15  -8624035.55
  2193255.21  -8704547.61
  2244708.73  -8768736.69
  2301980.00  -8840109.04
  2362870.31  -8917622.18
  2398737.26  -8966336.75
  2426825.09  -9008419.48
  2549180.37  -8989920.60
  2592102.86  -9059908.57
  2637492.58  -9133376.78
  2684391.63  -9208346.35
  2724889.17  -9271562.48
  2753348.44  -9329277.91
> 9388    7 S SANDWICH TRENCH                                                     
  3310376.28  -9048599.62
  3296819.52  -9116298.51
  3248183.85  -9204546.03
  3165857.62  -9289631.14
  3091723.16  -9335048.43
  3007190.28  -9363519.05
  2919104.53  -9371421.41
  2840668.16  -9362301.95
  2797259.59  -9348246.83
  2761837.46  -9341781.93
  2752513.18  -9334352.73
> 96 8    8 SOUTH AMERICA AND MID. AMER. TRENCH                                   
  -709350.54    370091.36
  -692180.68    357542.05
  -576651.07    299028.52
  -511650.75    271577.05
  -446561.50    244300.41
  -368312.01    214885.30
  -282357.09    172391.36
  -199496.64    108043.07
  -113015.97     28437.77
   -73465.55    -13508.85
   -75672.17     -7985.20
   -15183.79    -46509.10
    28880.66    -72867.58
    76265.58    -91424.76
   122678.78   -121010.15
   172624.33   -170463.46
   244611.37   -200883.88
   289997.15   -210436.67
> Pen up flag, same line
   289997.15   -210436.67
   739630.63   -297693.85
   787408.77   -348265.51
   826417.60   -405768.04
   846387.01   -463646.49
   841604.95   -520799.09
   820907.82   -569180.95
   795625.48   -615321.97
   767983.65   -655836.74
   738045.55   -695194.97
   700237.68   -736780.88
   673599.40   -777104.71
   651300.83   -797298.65
   620221.75   -857606.09
   590153.40   -905589.93
   564525.79   -953506.52
   541085.91   -991366.20
